Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,325000.0,3.609375,2.6966639173527546E-9,325000.0,93.96215384615385,93.96215384615385,-391.55811623246336,0.0,?,?,?,325000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,330000.0,3.65625,2.731685526669024E-9,330000.0,93.99818181818182,93.99818181818182,-389.03703703703536,0.0,?,?,?,330000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,335000.0,3.71875,2.7783810057573834E-9,335000.0,94.00776119402985,94.00776119402985,-390.5669599218004,0.0,?,?,?,335000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,340000.0,3.765625,2.813402615073653E-9,340000.0,94.06205882352941,94.06205882352941,-383.91658676893445,0.0,?,?,?,340000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,345000.0,3.796875,2.836750354617833E-9,345000.0,94.04608695652173,94.04608695652173,-383.3176470588252,0.0,?,?,?,345000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,350000.0,3.8125,2.8484242243899225E-9,350000.0,94.10657142857143,94.10657142857143,-382.84176029962634,0.0,?,?,?,350000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,355000.0,3.875,2.895119703478282E-9,355000.0,94.08816901408451,94.08816901408451,-386.2604263206668,0.0,?,?,?,355000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,360000.0,3.921875,2.9301413127945513E-9,360000.0,94.07972222222222,94.07972222222222,-382.8500226551906,0.0,?,?,?,360000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,365000.0,3.984375,2.9768367918829106E-9,365000.0,94.12054794520547,94.12054794520547,-378.3771734284424,0.0,?,?,?,365000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,370000.0,4.03125,3.01185840119918E-9,370000.0,94.12810810810811,94.12810810810811,-378.9682539682522,0.0,?,?,?,370000.0,2888.0
